roi_ids_rem,degallsub_w_avg,degallsub_b_avg,pet_avg,ICallsub_w_avg,ICallsub_b_avg,AvgMIallsub_avg,btw_avg
124,3.6369285617338676,99.22222222222223,29.07491159439087,29.74009547810712,29.615735080935288,0.03459513705126783,0.004263469649206143
126,4.589435870203195,95.44444444444444,28.57021623187595,29.896144125671817,29.832427240822003,0.04219655856910609,0.004038555656317024
127,12.795869125511135,153.88888888888889,29.73308738072713,29.316286161178645,29.441671684233963,0.08009693937998594,0.0022977213513552417
128,9.338894176043201,146.0,31.0056602689955,29.654559239325167,29.61233999218213,0.060057771123709185,0.002514538440500353
129,3.010110281081161,87.83333333333333,35.15781916512383,30.049199203073133,29.983917185775777,0.03094476037253486,0.0035536410876480834
132,10.17109510668244,136.0,31.19712299770779,29.849043735374703,29.69749934154556,0.07083173007524465,0.0029049891321558637
133,2.9726978480626203,85.16666666666667,34.290624883439804,29.99512761447684,29.91833698463661,0.03225076209898999,0.004091635358638856
134,6.271507542956485,109.94444444444444,30.371954758961994,29.06826097310038,29.327688429870005,0.05463005590720296,0.0037947488880252195
135,6.534613147886187,118.55555555555556,30.28161965476142,30.12560666008945,29.780669044663618,0.05169175597751575,0.0032621525528637846
139,10.635139296383295,140.66666666666666,32.37365537219577,30.0953707225217,29.758260250469668,0.07205623901837782,0.002560420895049733
140,9.083004677305196,133.16666666666666,32.2462027337816,30.29892779842581,29.93902929578481,0.06412631133259342,0.002652185804148494
142,8.394208679438268,129.66666666666666,30.021504561106365,29.418564658776113,29.502511389278805,0.05637072322023324,0.0027061651624418824
143,2.259838380127587,75.07142857142857,21.1292604299692,27.952310514267285,28.03409383335859,0.026374615307253265,0.0035484680658116334
144,1.8600075117836776,65.42857142857143,26.08749516805013,27.39306768190605,27.339049669436413,0.02433977617281061,0.0018108487079246777
145,3.676728687306156,96.72222222222223,32.2078587214152,29.71228361062165,29.71148747130532,0.034340409362125915,0.00388381482920931
147,7.781381710420375,126.66666666666667,31.58865769704183,30.048332316361797,29.875196848261144,0.058221429138531594,0.0030498337435764565
148,9.724717570523172,131.11111111111111,31.04684813817342,29.44082208986188,29.56965848904759,0.06814169219098704,0.0024047804119704625
150,5.483947850553191,115.05555555555556,34.25276072820028,30.129627842917962,29.77341417417855,0.04515947110974728,0.003666098084092642
152,15.630242711586028,174.38888888888889,26.372380256652832,29.734919597950025,29.694540545385273,0.08720529787634534,0.0020988973816412604
155,6.230510733740278,114.88888888888889,29.327542357974583,30.53634041519481,29.988281515234746,0.052330775088787876,0.0024290711232024874
157,8.324881225042803,138.0,28.82667303085327,29.667076520754726,29.712014555813557,0.0546703221286174,0.0035608383354205353
158,5.425135544888641,120.55555555555556,21.208968083063763,29.47001749134018,29.45658957166042,0.04182386190387019,0.0037659598969354124
160,5.062836779620843,102.23529411764706,26.4833434178279,29.11371981516963,29.138210168222816,0.04039276506548591,0.002931079155331001
161,3.9620260901306636,97.72222222222223,32.62783718109131,29.640161063145868,29.644162543686193,0.03345672646396145,0.00426706827309237
162,5.324583520875739,116.05555555555556,28.839067300160725,29.487175925518095,29.508254806276966,0.0399787111016369,0.0040988326064113085
163,8.458508533683336,122.77777777777777,34.957727167341446,30.664368442201255,29.966908411483725,0.0649869578538568,0.0029787609218234947
164,6.766246266586943,129.33333333333334,29.93284511566162,29.27057708475255,29.46265533395929,0.04937541444156882,0.0033332253746167465
165,13.016662037808281,143.72222222222223,25.426284948984783,29.242469715514364,29.615100819632314,0.08609236544615838,0.0030102488808279714
167,6.1991464613097325,123.05555555555556,32.95063617494371,29.39290264024854,29.476958734528964,0.044781257503813836,0.0037146795065566927
170,14.18056175076731,155.16666666666666,26.383099873860676,29.289235615634468,29.64821328270496,0.0873981363662054,0.0018290005901743175
171,4.489982109129503,103.22222222222223,26.297320259941948,29.537687408822325,29.531640870743175,0.0370413134854283,0.0034375854673172977
175,7.063460851979414,118.55555555555556,31.908910751342773,30.280225716710568,29.81653424543191,0.056354489575354744,0.002848310805947806
177,5.942986769277838,115.27777777777777,29.79906479517619,29.714331363065078,29.59012106408878,0.04875171468539727,0.0034591772106346533
179,8.442917098650014,132.11111111111111,25.94545210732354,29.238243332785057,29.4261845221991,0.05745734185590076,0.0032819449842380276
180,3.304741519747836,92.38888888888889,22.667891873253716,29.466755163524436,29.547969696124248,0.03196547695479989,0.004495580889867714
182,8.069764254957992,130.94444444444446,29.33941517935859,29.17642501579065,29.37320829074151,0.0597650761817603,0.003182982827366815
186,3.343435175632475,84.11111111111111,32.67290634579129,29.604487177659127,29.5486162021849,0.0354258208703029,0.0045045774495832795
189,6.194705648040834,110.55555555555556,28.467884911431206,29.234272639306297,29.36511876786638,0.05140788371746538,0.003353017805990989
192,1.8890129519560495,55.5,32.66667625639174,29.44063675017847,29.591115552956552,0.02941897926056193,0.0010583809893953695
