ROI,CN_Ab.neg,CN_Ab.pos,MCI_Ab.neg,MCI_Ab.pos,Dementia_Ab.neg,Dementia_Ab.pos
rPH,1.0502622093023257,1.305535658914729,1.042451898734177,1.404536842105263,1.0591285714285714,1.5431540000000001
rTPOJ1,1.1815854651162792,1.479415503875969,1.1653354430379748,1.5992736842105262,1.223542857142857,1.669246
rTPOJ2,0.9981517441860465,1.2891937984496122,0.9831822784810129,1.4168115789473685,1.0106142857142857,1.5273380000000003
rTPOJ3,1.2500232558139535,1.5432410852713179,1.2279443037974684,1.6442989473684209,1.3046714285714285,1.70035
rDVT,1.1305523255813952,1.3836961240310077,1.094140506329114,1.4491884210526316,1.0840714285714286,1.546774
rPGp,0.9179412790697674,1.1735852713178294,0.9065620253164558,1.2676084210526317,0.9281857142857142,1.3555359999999999
rIP2,1.0380366279069768,1.3538782945736436,0.9993683544303799,1.4815842105263153,1.0171428571428571,1.5649679999999997
rIP1,0.9658366279069767,1.2636976744186046,0.9410696202531645,1.3992115789473685,0.9037714285714286,1.4882920000000002
rIP0,1.129531395348837,1.3948527131782946,1.1023139240506332,1.4903126315789474,1.087057142857143,1.598878
rPFop,0.9604563953488372,1.1993798449612403,0.9531025316455694,1.2874284210526314,0.9636571428571429,1.391992
rPF,0.990525581395349,1.254222480620155,0.9673924050632908,1.3439505263157896,0.9944428571428571,1.4066899999999998
rPFm,0.9181063953488372,1.228051937984496,0.8975987341772151,1.3601884210526318,0.9181142857142858,1.4247740000000002
rPGi,1.0998651162790698,1.4154124031007749,1.071760759493671,1.5184063157894732,1.0864285714285715,1.600708
rPGs,0.9421453488372095,1.2571255813953488,0.9286468354430378,1.3727042105263159,0.9310571428571429,1.4540220000000001
rV6A,0.8398459302325583,1.0230658914728683,0.8122405063291137,1.0882926315789474,0.8622571428571428,1.170146
rVMV1,0.9583511627906977,1.071088372093023,0.9469607594936711,1.1243263157894738,0.9297428571428572,1.1667100000000001
rVMV3,1.1648761627906976,1.3383170542635658,1.1399341772151899,1.3849631578947363,1.1457285714285714,1.457088
rPHA2,1.024575,1.1903333333333335,1.0105481012658226,1.2570094736842106,0.9590714285714286,1.2851460000000001
rV4t,1.0017744186046513,1.2490682170542635,0.9962379746835442,1.3372578947368423,1.0883999999999998,1.4782459999999997
rFST,1.1439662790697676,1.4116387596899225,1.1211974683544303,1.5453389473684207,1.2443428571428572,1.6707740000000002
rV3CD,1.0836645348837208,1.2881286821705427,1.075373417721519,1.3988610526315786,1.0958142857142856,1.47606
rLO3,1.0009581395348839,1.2429558139534882,0.9990417721518987,1.3356,1.0267857142857144,1.472556
rVMV2,1.1645895348837207,1.3263806201550385,1.135813924050633,1.353361052631579,1.143114285714286,1.3541680000000003
r31pd,1.1983668604651163,1.5659279069767442,1.17916582278481,1.687631578947368,1.1539714285714286,1.7746540000000002
r31a,0.9536610465116279,1.3241906976744187,0.9182291139240507,1.4746757894736846,0.9062428571428572,1.6096319999999997
rVVC,0.9414232558139535,1.1087720930232559,0.9444000000000005,1.1749978947368422,0.9760714285714286,1.2715940000000001
